# Density Viscosity
3.003610832497492833e+00 1.602159590898120101e+01
3.003009027081243953e+00 1.563609225342364617e+01
3.002407221664995074e+00 1.526658460017138275e+01
3.002106318956871078e+00 1.490987374876335458e+01
3.001504513540622199e+00 1.456755929943008887e+01
3.000000000000000000e+00 1.423644205171052946e+01
2.999398194583751120e+00 1.391812160583520530e+01
2.998495486459378245e+00 1.361099836157358567e+01
2.997592778335005370e+00 1.331507231892566878e+01
2.996690070210632051e+00 1.302874387766092923e+01
2.995787362086259176e+00 1.275201303777936523e+01
