# Density Viscosity
3.003610832497492833e+00 1.420162689417134629e+02
3.003009027081243953e+00 1.385991442597093908e+02
3.002407221664995074e+00 1.353238089835975586e+02
3.002106318956871078e+00 1.321619052321996151e+02
3.001504513540622199e+00 1.291276119461046790e+02
3.000000000000000000e+00 1.261925712441343563e+02
2.999398194583751120e+00 1.233709620668778655e+02
2.998495486459378245e+00 1.206486054737459881e+02
2.997592778335005370e+00 1.180255014647386957e+02
2.996690070210632051e+00 1.154874710992667843e+02
2.995787362086259176e+00 1.130345143773302397e+02
