# Density Viscosity
3.003610832497492833e+00 2.708143990003290202e+00
3.003009027081243953e+00 2.642981979061717723e+00
3.002407221664995074e+00 2.580523786001537534e+00
3.002106318956871078e+00 2.520228647246472775e+00
3.001504513540622199e+00 2.462366944584660988e+00
3.000000000000000000e+00 2.406397914439824426e+00
2.999398194583751120e+00 2.352591938600102406e+00
2.998495486459378245e+00 2.300678635277356054e+00
2.997592778335005370e+00 2.250658004471584039e+00
2.996690070210632051e+00 2.202259664394648375e+00
2.995787362086259176e+00 2.155483615046548618e+00
